entity,type,frequency
Caesaraugusta,LOC,17
Julia,LOC,17
Berna,LOC,16
Toma,LOC,16
Pavía,LOC,16
Fraile,LOC,16
Leganés,LOC,16
Boro,LOC,16
Paz,LOC,16
dueña,LOC,16
Torre,LOC,16
Materia,ORG,16
Tenían,LOC,16
Nava,LOC,16
Fortunata,LOC,16
Poniente,LOC,16
Vete,LOC,16
Venía,LOC,16
Bonis,LOC,16
Bearne,LOC,16
Calle,LOC,16
Caramba,LOC,16
Micaelas,LOC,16
Pues,LOC,16
Bradomín,LOC,16
Alhambra,LOC,16
-¿Eh,LOC,16
Rafaela,LOC,16
Tendió,LOC,16
Suizo,LOC,16
Villamar,LOC,16
Compostela,LOC,16
Elíseos,LOC,16
Pastrana,LOC,16
oir,ORG,16
Laredo,LOC,16
Total,LOC,16
Estamos,ORG,16
Arabia,LOC,16
Barón,LOC,16
Volveré,LOC,16
Sosiégate,LOC,16
Rastro,LOC,16
valle,LOC,16
Campana,LOC,16
too,ORG,16
Marruecos,LOC,16
Cuacos,LOC,16
Cármenes,LOC,16
Mbúa,LOC,16
Adivinaba,LOC,16
Berlín,LOC,15
Farmacia,ORG,15
Veíase,LOC,15
rujus,LOC,15
Dalmira,LOC,15
El,ORG,15
Vizcaya,LOC,15
Pensais,LOC,15
Curdin,LOC,15
Ermitaño,LOC,15
Inquisidores,LOC,15
Cívico,ORG,15
Abrojo,LOC,15
Bangola,LOC,15
Almina,LOC,15
habíale,LOC,15
Bayona,LOC,15
Fulano,LOC,15
Phillips,LOC,15
Simancas,LOC,15
Nilo,LOC,15
Zulima,LOC,15
Volvió,LOC,15
Socartes,LOC,15
Zoraida,LOC,15
Canal,LOC,15
Fuente-Hermosa,LOC,15
Arcos,LOC,15
Omar-Jacub,LOC,15
temais,LOC,15
Níjar,LOC,15
uagangas,ORG,15
Omaña,LOC,15
Entre,LOC,15
Humilladero,LOC,15
¡,ORG,15
Toros,LOC,15
barquía,ORG,15
florida,LOC,15
Troya,LOC,15
Cerda,LOC,15
Abadesa,LOC,15
Basutolandia,LOC,15
"
		",LOC,15
Frente,ORG,15
Aires,LOC,15
ley,LOC,15
Natalia,LOC,15
Arganda,LOC,15
Vistillas,LOC,15
Infantes,LOC,14
Compañías,ORG,14
islas,LOC,14
Sancho,LOC,14
Viena,LOC,14
Nuevitas,LOC,14
Banga,LOC,14
Ven,LOC,14
Anuncia,LOC,14
menuda,LOC,14
Civil,ORG,14
Cameros,LOC,14
Venta,LOC,14
Bedoya,LOC,14
Trabuco,LOC,14
Isla,LOC,14
Piñón,LOC,14
Rey,ORG,14
Nansa,LOC,14
Urimi,LOC,14
Florencia,LOC,14
Páez,LOC,14
Esperaba,LOC,14
Tomé,LOC,14
Rambla,LOC,14
Mota,LOC,14
Leed,LOC,14
Bellavista,LOC,14
Andaba,LOC,14
perro,LOC,14
Paparrigópulos,LOC,14
Carlos,LOC,14
bosque,LOC,14
Catalina,LOC,14
Lage,LOC,14
Peralta,LOC,14
Blanca,LOC,14
Napoleón,LOC,14
Parlamento,ORG,14
Universidad,LOC,14
Manzanares,LOC,14
Brandeso,LOC,14
Pinos,LOC,14
Esperad,LOC,14
Ángel,LOC,14
-Pos,ORG,14
Isidro,LOC,14
Friburgo,LOC,14
Armada,ORG,14
Raíces,LOC,14
Maravillas,LOC,14
He,LOC,14
Llera,LOC,14
Cerrada,LOC,14
Reino,LOC,14
Allá,LOC,14
Seminario,ORG,14
Parnaso,LOC,14
condado,LOC,14
Bastaba,LOC,14
Petrilla,LOC,14
Edelmira,LOC,14
Copa,LOC,14
Sólo,LOC,14
Sabeis,LOC,14
Recuerdo,LOC,14
Segura,LOC,14
Acércate,LOC,14
Carrasco,LOC,14
Hecho,LOC,14
Corriente,LOC,14
Zocodover,LOC,14
Menor,LOC,14
Católica,ORG,14
Margarita,LOC,14
Entraba,LOC,14
Olalla,LOC,13
"Bien,—dijo",LOC,13
Bajos,LOC,13
Soniche,LOC,13
Namur,LOC,13
Fuerte,LOC,13
Municipio,LOC,13
Debajo,LOC,13
Brutandór,LOC,13
Andando,LOC,13
Tranquilízate,LOC,13
Valdepeñas,LOC,13
Times,ORG,13
Estrecho,LOC,13
hotel,LOC,13
The,ORG,13
Principal,LOC,13
Monina,LOC,13
Sal,LOC,13
Orange,ORG,13
Ermita,LOC,13
Viejo,LOC,13
Perfectamente,LOC,13
Feria,LOC,13
Lady,LOC,13
Esquivias,LOC,13
Cianea,LOC,13
Argelia,LOC,13
Hasta,LOC,13
Tinieblas,LOC,13
Mire,LOC,13
